artikel_nr,bezeichnung,werkstoff,abmessungen,einheit,basispreis_eur,zkalk_offset_eur,preis_min_eur,preis_max_eur,sales_group,material_group,n_offers
00002900KS0009,"Nadeldichtung 12x18,2x11,6 HS4080",,"12x18,2x11,6",ST,19.1068,0.0,17.02,25.2394,,Fluidtechnology,6
00003000KS0001,RWDR 125x150x12 HN2390 HS21037 1.4571,,125x150x12,ST,124.5944,0.0,89.0305,307.895,VG 35 - Distribution,Fluidtechnology,11
00003400KS0001,RWDR 35x48x7 Airseal HS17021,,35x48x7,ST,69.9753,0.0,10.8794,187.9955,,Compressor,4
00003500KS0001,Shaft seal 60x75x8 HS17021,,60x75x8,ST,40.831,0.0,23.8017,48.678,VG 35 - Distribution,Distribution,10
00005800KS0024,"RWDR 11x19,4x5,4 sonder HS21037",,"11x19,4x5,4",ST,5.9784,0.0,5.6725,6.2497,,Sensors,3
00005900KS0001,Schlauch RW 22x25  HS17006,,22x25,M,39.3778,0.0,39.3778,39.3778,VG 26 - Energy,Energy Generation,1
00006000KS0001,RWDR 60x80x8 HN2380-1 HS21037,,60x80x8,ST,55.993,0.0,42.294,121.429,,Food/Pharma,4
00006300KS0001,Doppel-T-Profilschl. HS10008 dunkelgrün,,,M,1.5295,0.0,1.1689,1.8221,VG 35 - Distribution,Distribution,3
00006800KS0330,"Disc 27,2x5x0,5 mm",,"27,2x5x0,5",ST,0.244,0.0,0.2322,0.2558,,Device medicine,2
00007000KS0010,"Dichtlippe 340x365x1,5 HS21037",,"340x365x1,5",ST,148.96,0.0,148.96,148.96,,General Mechanical Eng.,1
00007600KS0001,Komplettkolben EKK-80  Ecocharge,,,ST,350.8141,0.0,350.8141,350.8141,,PTFE,1
00007860KS0001,"PTFE-Membrane D52,6",PTFE,,ST,30.723,0.0,19.0855,33.383,,Distribution,7
00007900KS0001,shaft seal 70x90x10 Airseal HS17021,,70x90x10,ST,63.328,0.0,51.0321,81.0502,,Compressor,4
00008500KS0001,RWDR 30x47x7 HN2580-1 reiopt HS21059,,30x47x7,ST,52.0695,0.0,46.4835,57.589,,Distribution,3
00009800KS0001,"RWDR 18x26,6x2 sonder HS21037",,"18x26,6x2",ST,65.7353,0.0,65.3695,66.101,,Distribution,2
00009900KS0010,EFN URA-A36-108HS4080-C,,,ST,48.8509,0.0,47.4411,50.2607,,PTFE,2
00011300KS0001,RWDR 205x230x12 HN2390 HS21037,,205x230x12,ST,268.5336,0.0,217.9205,319.1468,,Distribution,2
00011400KS0001,"Hülse 3,5x2,7x14,2 RW",,"3,5x2,7x14,2",ST,13.4936,0.0,9.3125,18.1619,,Machine Tools/Painting,4
00012400KS0001,"Schlauch natur 1,5x2,3 mm",,"1,5x2,3",M,1.8531,0.0,1.721,2.1179,,PTFE,3
00013800KS0001,RWDR 35x52x7 Airseal HS17021,,35x52x7,ST,129.0166,0.0,89.509,168.5243,VG 35 - Distribution,Distribution,2
00014900KS0001,shaft seal 65x85x8 HN2390 neg. HS17034,,65x85x8,ST,99.484,0.0,47.9465,182.343,,Food/Pharma,5
00016000KS0004,EFN URF-B105-316-HS21059-C,,,ST,113.848,0.0,103.607,119.035,VG 35 - Distribution,PTFE,4
00019900KS0001,Schlauch 2-lum.verj.farbm.get. HS11007,,,ST,18.4222,0.0,17.6266,21.9129,VG 27 - Medical,Internal medicine,5
00020000KS0025,"EFN URX-B35,9-548-HS21059-C",,,ST,9.6522,0.0,8.7807,13.1005,VG 30 - Industrial Solutions,General Mechanical Eng.,5
00038100KS0100,Stützring 5837-1009/10250817 HS11097,,,ST,6.2271,0.0,4.9769,17.0945,,Aerospace,7
